#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
693,318,322,-1,-1,1,192,624.2640991,1,1,382,3.251375516,1.634199212
694,318,326,-1,-1,1,477,741.4213867,1,1,641,1.55434253,1.15666363
695,318,336,-1,-1,1,242,562.132019,1,1,341,2.322859583,1.648480994
696,318,367,-1,-1,1,40,300,1,1,200,7.5,1.5
697,319,332,-1,-1,-15,1886,17689.44531,1,1,2189,9.379345341,8.081062272
698,319,334,-1,-1,1,2959,34539.80078,1,0,4328,11.67279513,7.980545467
699,319,339,-1,-1,1,1279,12101.21973,1,1,1989,9.461469685,6.084072261
700,319,342,-1,-1,-15,1657,12863.35156,1,1,2431,7.763036549,5.29138279
701,320,332,-1,-1,1,138,362.1320496,1,1,241,2.624145287,1.502622612
702,320,362,-1,-1,1,132,300,1,1,200,2.272727273,1.5
703,321,325,-1,-1,1,204,424.2640686,1,1,282,2.079725826,1.504482513
704,321,337,-1,-1,-15,2495,25784.16602,0,1,14398,10.33433508,1.790815809
705,321,338,-1,-1,1,852,1976.345581,1,1,1048,2.319654438,1.885825936
706,322,336,-1,-1,1,148,300,1,1,200,2.027027027,1.5
707,322,367,-1,-1,1,238,624.2640991,1,1,382,2.6229584,1.634199212
708,323,324,-1,-1,1,207,562.132019,1,1,341,2.715613619,1.648480994
709,323,327,-1,-1,-15,87,1652.081543,1,1,1007,18.98944302,1.640597361
710,323,329,-1,-1,-15,243,2444.974854,1,1,582,10.06162491,4.200987721
711,324,329,-1,-1,-15,412,2955.63501,1,1,1889,7.173871383,1.564655908
712,324,362,-1,-1,-15,265,7643.250488,1,1,2555,28.84245467,2.991487471
713,325,337,-1,-1,-15,2229,25763.45508,1,1,14398,11.55830196,1.78937735
714,325,338,-1,-1,1,838,1955.634888,1,1,1048,2.333693183,1.866063824
715,325,363,-1,-1,-15,2470,22835.63867,1,0,11691,9.245197843,1.953266502
716,325,367,-1,-1,-15,2086,3604.163086,0,1,2355,1.727786714,1.530430185
717,326,367,-1,-1,1,349,762.132019,1,1,441,2.183759367,1.728190519
718,327,328,-1,-1,-15,302,5208.326172,1,1,824,17.24611315,6.320784189
719,327,329,-1,-1,1,131,603.5534058,1,1,241,4.607277907,2.504370978
720,327,331,-1,-1,1,124,1700,1,1,200,13.70967742,8.5
721,327,333,-1,-1,-15,734,5511.879395,1,1,1007,7.509372472,5.473564443
722,327,343,-1,-1,-15,2115,17082.94727,0,1,2597,8.077043624,6.57795428
723,327,352,-1,-1,-15,4896,65605.69531,1,1,7549,13.39985607,8.690647147
724,327,362,-1,-1,1,283,4766.904785,1,1,382,16.84418652,12.47880834
